Latin;Bahasa
a.a;masing-masing
a.c;sebelum makan
a.d;Sampai
add;tambahkan
aorist;tetes telinga
aplic;digunakan
aur;Telinga
b.;dua kali
b.in.d;dua kali sehari
b.d.d;dua kali sehari
c.;Dengan
c, coch.;sendok makan
c.p;sendok bubur
c.th;sendok teh
caps;Kapsul
cer;Malam
cito;segera
collut;obat cuci mulut
collyr;obat cuci mata
concus;kocok
consp;taburkan
cream;krim
d.;berikan
d. dos;dosis
d.c;pada saat makan
d.in duplo;berikan dua kali jumlahnya
d.in.dim;berikan setengahnya
d.d;tiap hari
d.s;berikan dan tandaialah
d.t.d;berikan dalam dosis demikian
dil;Diencerkan
det;Diberikan
dext.;Kanan
"dup;dupl:dx";dua kali
emuls;Emulsi
epith;obat kompres
f;Dibuat
garg;obat kumur
gtt;Tetes
h;Jam
h.m;pagi hari
h.v;malam hari
haust;diminum sekaligus
iter;untuk diulang
lin;obat gosok
liq;larutan,cairan
lot;obat cuci
m.;Campurkan
m.et.v;pagi dan malam
m.d.s;campuran,berikan,tandai
m.f;campur dan buat
m.f.pulv;campurkan, buat puder
n, noct;malam hari
ne det;tidak diberikan
n.i;tidak boleh diulang
no;Jumlah
o.b.h;tiap 2 jam
o.h;tiap jam
o.m;tiap pagi
o.n;tiap malam
o.s;mata kiri
os:oris;mulut
oculent;salep mata
p.d.sing;untuk satu dosis
p.i.m;bahaya jika ditunda
p.r.n;bila diperlukan
p.c;setelah makan
p.m;Sore
part dol;pada bagian yang sakit
pot;obat minum
pulv;Sebuk
pulv. adsp;serbuk tabur
q.d.d;empat kali sehari
q.s;Secukupnya
quar sing;masing-masing diambil satu
R/;ambil
s;tandai/tulis
s.c;dibawah kulit
s.o.s;bila diperlukan
s.n.s;bila diperlukan
sol,solut;larutan
supp;suppositoria
syr;sirup
tab;tablet
t;tiga kali
ter.d.d;tiga kali sehari
u.c;cara pakai diketahui
u.e;obat luar
u.i;obat dalam
u.n;cara pakai diketahui
ung.;Salep
vesp;Sore
